Property 2,Topic,Name,Final Review,4th,Date Created,Studies,Property,Number,Status,1st review,2nd,3rd,Next Review,5th
,Hand,Finger Tip Injuries/ Amputations,"September 2, 2022",18 days,"July 1, 2022 6:34 PM",Revised x 2,"July 10, 2022",,Not started,"July 31, 2022",7 days,12 days,"September 27, 2022",18 days
,Hand,Congenital Hand Conditions,"September 2, 2022",18 days,"June 29, 2022 12:39 PM",Revised x 2,"July 13, 2022",,Not started,"July 26, 2022",7 days,7 days,"September 17, 2022",18 days
,Hand,Hand Infections,"September 1, 2022",18 days,"July 1, 2022 6:48 AM",Revised x 1,"July 8, 2022",,Not started,"August 3, 2022",7 days,7 days,"September 25, 2022",18 days
,Hand,"Ulnar Sided Injuries - TFCC, Ulnar Abutment","August 31, 2022",18 days,"July 1, 2022 7:12 PM",Revised x 1,"July 14, 2022",,Not started,"August 2, 2022",12 days,18 days,"September 22, 2022",
,Hand,"Hand MSC Conditions - Ganglion, Pyogenic Granuloma","September 1, 2022",18 days,"July 1, 2022 7:03 PM",Revised x 1,"July 15, 2022",,Not started,"July 31, 2022",12 days,18 days,"September 20, 2022",
,MSO,General MSO,"September 2, 2022",12 days,"June 15, 2022 4:02 PM",Revised x 1,"July 13, 2022",,Not started,"July 25, 2022",7 days,12 days,"September 15, 2022",18 days
,MSO,Benign Bone Tumors,"September 2, 2022",12 days,"June 15, 2022 4:11 PM",Revised x 1,"July 8, 2022",,Not started,"August 2, 2022",7 days,7 days,"September 18, 2022",18 days
,MSO,Benign Tumor-Like Lesions,"September 2, 2022",18 days,"June 17, 2022 10:54 AM",Revised x 1,"July 14, 2022",,Not started,"July 28, 2022",3 days,3 days,"September 11, 2022",18 days
,MSO,Malignant Bone Tumors,"September 2, 2022",18 days,"June 15, 2022 9:14 PM",Revised x 1,"July 11, 2022",,Not started,"August 12, 2022",12 days,12 days,"September 26, 2022",
,MSO,Soft Tissue Tumors,"September 2, 2022",18 days,"June 17, 2022 6:17 AM",Revised x 1,"July 16, 2022",,Not started,"August 1, 2022",7 days,12 days,"September 28, 2022",18 days
,MSO,Bone/ Spine Mets,"September 2, 2022",18 days,"June 16, 2022 1:51 PM",Revised x 1,"July 16, 2022",,Not started,"August 11, 2022",12 days,18 days,"October 1, 2022",
,,Viva Sessions,"August 31, 2022",,"July 13, 2022 8:37 AM",Revised x 0,,,Not started,,,,,
,,https://youtube.com/playlist?list=PLEoem3SKcqzA1kD_B9mWzy_b0v1r2hRRy,,,"December 22, 2022 7:05 PM",Revised x 0,,,Not started,,,,,
,,FRCS Dashboard,,,"July 22, 2022 7:37 PM",Revised x 0,,,Not started,,,,,
,Physical Exam,Hip Examination made Simple,"August 31, 2022",,"September 23, 2022 2:39 PM",Revised x 1,"July 15, 2022",,Not started,"September 6, 2022",,,"September 9, 2022",
